@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.25177,-0.02518,-0.22815,-0.225902,0.0424094,-0.25949,-0.25177,-0.02518,-0.22815,
-0.34744,0.00504,-0.34893,-0.225902,0.0424094,-0.25949,-0.34744,0.00504,-0.34893,
-0.2417,0.04028,-0.30532,-0.225902,0.0424094,-0.25949,-0.2417,0.04028,-0.30532,
-0.38269,0.03021,-0.48314,-0.225902,0.0424094,-0.25949,-0.38269,0.03021,-0.48314,
-0.47333,-0.09567,-0.08723,-0.225902,0.0424094,-0.25949,-0.47333,-0.09567,-0.08723,
-0.06042,0.2417,-0.23822,-0.225902,0.0424094,-0.25949,-0.06042,0.2417,-0.23822,
-0.37766,0.1712,-0.36907,-0.225902,0.0424094,-0.25949,-0.37766,0.1712,-0.36907,
-0.50858,0.06546,-0.42275,-0.225902,0.0424094,-0.25949,-0.50858,0.06546,-0.42275,
-0.29205,0.01511,-0.46972,-0.225902,0.0424094,-0.25949,-0.29205,0.01511,-0.46972,
-0.1712,-0.02014,-0.39255,-0.225902,0.0424094,-0.25949,-0.1712,-0.02014,-0.39255,
-0.43304,0.18631,-0.21808,-0.225902,0.0424094,-0.25949,-0.43304,0.18631,-0.21808,
-0.40787,-0.0856,-0.31874,-0.225902,0.0424094,-0.25949,-0.40787,-0.0856,-0.31874,
-0.13293,-0.0564,-0.14763,-0.225902,0.0424094,-0.25949,-0.13293,-0.0564,-0.14763,
-0.16113,0.16617,-0.10736,-0.225902,0.0424094,-0.25949,-0.16113,0.16617,-0.10736,
-0.22559,-0.12891,-0.28183,-0.225902,0.0424094,-0.25949,-0.22559,-0.12891,-0.28183,
-0.4834,0.09567,-0.13085,-0.225902,0.0424094,-0.25949,-0.4834,0.09567,-0.13085,
-0.55389,0.19135,-0.14427,-0.225902,0.0424094,-0.25949,-0.55389,0.19135,-0.14427,
-0.43304,0.18127,-0.30196,-0.225902,0.0424094,-0.25949,-0.43304,0.18127,-0.30196,
-0.34241,-0.06546,-0.36236,-0.225902,0.0424094,-0.25949,-0.34241,-0.06546,-0.36236,
-0.22659,-0.04532,-0.36236,-0.225902,0.0424094,-0.25949,-0.22659,-0.04532,-0.36236,
-0.28702,-0.08057,-0.50663,-0.225902,0.0424094,-0.25949,-0.28702,-0.08057,-0.50663,
-0.39276,-0.10574,-0.20131,-0.225902,0.0424094,-0.25949,-0.39276,-0.10574,-0.20131,
-0.40787,0.05539,-0.18789,-0.225902,0.0424094,-0.25949,-0.40787,0.05539,-0.18789,
-0.25378,0.12488,-0.33015,-0.225902,0.0424094,-0.25949,-0.25378,0.12488,-0.33015,
-0.03525,0.06546,-0.22479,-0.225902,0.0424094,-0.25949,-0.03525,0.06546,-0.22479,
-0.04028,0.20645,-0.59051,-0.225902,0.0424094,-0.25949,-0.04028,0.20645,-0.59051,
-0.2981,-0.29407,-0.07784,-0.225902,0.0424094,-0.25949,-0.2981,-0.29407,-0.07784,
-0.42297,0.0856,-0.15769,-0.225902,0.0424094,-0.25949,-0.42297,0.0856,-0.15769,
-0.34744,0.39276,-0.13421,-0.225902,0.0424094,-0.25949,-0.34744,0.39276,-0.13421,
-0.14099,0.10574,-0.05033,-0.225902,0.0424094,-0.25949,-0.14099,0.10574,-0.05033,
-0.16617,0.10071,-0.10736,-0.225902,0.0424094,-0.25949,-0.16617,0.10071,-0.10736,
-0.09567,-0.10574,-0.36236,-0.225902,0.0424094,-0.25949,-0.09567,-0.10574,-0.36236,
-0.36255,0.0856,-0.35229,-0.225902,0.0424094,-0.25949,-0.36255,0.0856,-0.35229,
